Bpressure,deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
941.323974609375,ccbc9d76c2ebeaf5,0.3663659989833832,-0.11004399508237839,-0.32765260338783264,-1.2102758884429932,6,-2.0250000953674316,-20.606250762939453,0.8784609436988831,4,-0.39889469742774963,444.0150146484375,2023-06-06 09:25:34,-39.78750228881836
941.3204345703125,ccbc9d76c2ebeaf5,0.12785600125789642,-0.07753100246191025,,,6,-0.16875000298023224,-20.943750381469727,1.1556450128555298,5,,461.0250244140625,2023-06-06 09:25:34,-39.16875076293945
,ccbc9d76c2ebeaf5,0.0941229984164238,-0.08777900040149689,-0.10713040828704834,0.44463321566581726,6,,,1.0827500820159912,0,-0.39805474877357483,,2023-06-06 09:25:35,
941.3250732421875,ccbc9d76c2ebeaf5,0.19641999900341034,-0.06045100465416908,-0.03741546720266342,0.430659681558609,6,0.13125000894069672,-21.9375,1.0135149955749512,1,-0.24602578580379486,446.9850158691406,2023-06-06 09:25:35,-38.66250228881836
941.32470703125,ccbc9d76c2ebeaf5,0.269802987575531,-0.04404200240969658,-0.06795870512723923,0.09300415962934494,6,0.09375,-22.89375114440918,0.7896450161933899,2,0.16325360536575317,429.030029296875,2023-06-06 09:25:35,-38.0625
941.321044921875,ccbc9d76c2ebeaf5,0.22307699918746948,-0.129381000995636,0.04451677203178406,-0.1153007298707962,6,0.22500000894069672,-24.037500381469727,0.976610004901886,3,0.23220497369766235,434.0250244140625,2023-06-06 09:25:35,-37.57500076293945
941.317138671875,ccbc9d76c2ebeaf5,0.29151901602745056,0.052765000611543655,,,6,0.45000001788139343,-25.106250762939453,1.0254709720611572,4,,,2023-06-06 09:25:35,-37.14375305175781
,ccbc9d76c2ebeaf5,0.31713899970054626,0.09509900212287903,0.09949459880590439,0.18723005056381226,6,0.4125000238418579,-25.968751907348633,0.9469030499458313,5,-0.11988221108913422,445.9725036621094,2023-06-06 09:25:35,-36.9375
941.3115234375,ccbc9d76c2ebeaf5,0.20855900645256042,-0.3172609806060791,-0.11598794907331467,-0.308104932308197,6,,,0.7116259932518005,0,0.27985242009162903,451.9800109863281,2023-06-06 09:25:36,
941.3182373046875,ccbc9d76c2ebeaf5,0.308476984500885,-0.013541999273002148,0.2493855506181717,0.16569706797599792,6,0.4687500298023224,-26.756250381469727,0.7984899878501892,1,-0.05024362727999687,,2023-06-06 09:25:36,-36.54375076293945
941.3255615234375,ccbc9d76c2ebeaf5,0.3122590184211731,-0.13340699672698975,-0.09972367435693741,-0.07086031138896942,6,0.15000000596046448,-27.225000381469727,0.8935890197753906,2,-0.08086322247982025,,2023-06-06 09:25:36,-36.50625228881836
941.3310546875,ccbc9d76c2ebeaf5,0.28017300367355347,-0.026840001344680786,,,6,-0.8812500238418579,-27.450000762939453,1.001802921295166,3,,,2023-06-06 09:25:36,-36.75
,ccbc9d76c2ebeaf5,0.2671799957752228,-0.05947500094771385,-0.06520981341600418,0.031230462715029716,6,-1.1812500953674316,-27.58125114440918,0.9199410080909729,4,-0.007788525894284248,,2023-06-06 09:25:36,-36.97500228881836
941.3316650390625,ccbc9d76c2ebeaf5,0.2713890075683594,-0.0462380014359951,-0.04024071618914604,-0.04528035223484039,6,,,0.9348860383033752,5,-0.004963276442140341,,2023-06-06 09:25:36,
941.3355712890625,ccbc9d76c2ebeaf5,0.2730969786643982,-0.07405400276184082,0.04436405375599861,-0.013057234697043896,6,-0.9750000238418579,-27.600000381469727,0.951295018196106,0,0.06452259421348572,,2023-06-06 09:25:37,-37.05000305175781
941.3369140625,ccbc9d76c2ebeaf5,0.24900199472904205,-0.049104999750852585,,,6,,,0.9536740183830261,1,,,2023-06-06 09:25:37,
,ccbc9d76c2ebeaf5,0.2537600100040436,-0.052094001322984695,,,6,,,0.9630069732666016,2,,,2023-06-06 09:25:37,
,ccbc9d76c2ebeaf5,0.250527024269104,-0.04446899890899658,,,6,,,0.9813680052757263,3,,,2023-06-06 09:25:37,
,ccbc9d76c2ebeaf5,0.23600900173187256,-0.05550999939441681,,,6,,,0.9969839453697205,4,,,2023-06-06 09:25:37,
,ccbc9d76c2ebeaf5,0.24674499034881592,-0.043981000781059265,,,6,,,0.9734379649162292,5,,,2023-06-06 09:25:37,
,ccbc9d76c2ebeaf5,0.25235700607299805,-0.05703499913215637,,,6,,,1.0276060104370117,0,,,2023-06-06 09:25:38,
,ccbc9d76c2ebeaf5,0.30402401089668274,-0.021959999576210976,,,6,,,0.9302500486373901,0,,,2023-06-06 09:26:17,
,ccbc9d76c2ebeaf5,0.3039020001888275,-0.040199000388383865,,,6,,,0.9476959705352783,0,,,2023-06-06 09:26:18,
,ccbc9d76c2ebeaf5,0.29810699820518494,-0.03172000125050545,,,6,,,0.9366549849510193,1,,,2023-06-06 09:26:18,
,ccbc9d76c2ebeaf5,0.2959720194339752,-0.036416999995708466,,,6,,,0.9516000151634216,2,,,2023-06-06 09:26:18,
,ccbc9d76c2ebeaf5,0.3084160089492798,-0.02324100024998188,,,6,,,0.9493429660797119,3,,,2023-06-06 09:26:18,
,ccbc9d76c2ebeaf5,0.31042900681495667,-0.03025600127875805,,,6,,,0.9215270280838013,4,,,2023-06-06 09:26:18,
,ccbc9d76c2ebeaf5,0.3001199960708618,-0.028974998742341995,,,6,,,0.9453170299530029,5,,,2023-06-06 09:26:18,
,ccbc9d76c2ebeaf5,0.301827996969223,-0.02336299978196621,,,6,,,1.0013149976730347,0,,,2023-06-06 09:26:19,
,ccbc9d76c2ebeaf5,0.33891600370407104,-0.053557999432086945,,,6,,,0.8876110315322876,1,,,2023-06-06 09:26:19,
,ccbc9d76c2ebeaf5,0.3311080038547516,-0.026047000661492348,,,6,,,0.9468419551849365,2,,,2023-06-06 09:26:19,
,ccbc9d76c2ebeaf5,0.34025800228118896,-0.029829001054167747,,,6,,,0.9461100101470947,3,,,2023-06-06 09:26:19,
,ccbc9d76c2ebeaf5,0.34855398535728455,-0.0340379998087883,,,6,,,0.9297009706497192,4,,,2023-06-06 09:26:19,
,ccbc9d76c2ebeaf5,0.36197400093078613,-0.0655750036239624,,,6,,,0.9350079894065857,5,,,2023-06-06 09:26:19,
,ccbc9d76c2ebeaf5,0.3791760206222534,-0.07161400467157364,,,6,,,0.930616021156311,6,,,2023-06-06 09:26:19,
,ccbc9d76c2ebeaf5,0.3735029995441437,-0.09082899987697601,,,6,,,0.8821209669113159,0,,,2023-06-06 09:26:20,
,ccbc9d76c2ebeaf5,0.3764309883117676,-0.07405400276184082,,,6,,,0.931835949420929,1,,380.0250244140625,2023-06-06 09:26:20,
,ccbc9d76c2ebeaf5,0.37252700328826904,-0.04507900029420853,,,6,,,0.8500349521636963,2,,,2023-06-06 09:26:20,
,ccbc9d76c2ebeaf5,0.3732590079307556,-0.06453800201416016,,,6,,,0.9297619462013245,3,,396.967529296875,2023-06-06 09:26:20,
,ccbc9d76c2ebeaf5,0.32763099670410156,-0.004209000151604414,,,6,,,0.895052969455719,4,,,2023-06-06 09:26:20,
,ccbc9d76c2ebeaf5,0.33129099011421204,-0.03507499769330025,,,6,,,0.9469640254974365,5,,401.01751708984375,2023-06-06 09:26:20,
,ccbc9d76c2ebeaf5,0.3333039879798889,-0.038978997617959976,,,6,,,0.9201850295066833,6,,,2023-06-06 09:26:20,
,ccbc9d76c2ebeaf5,0.33312100172042847,-0.038064002990722656,0.016875140368938446,0.021380268037319183,6,-5.53125,-27.48750114440918,0.9411080479621887,0,-0.011224640533328056,401.01751708984375,2023-06-06 09:26:21,-34.42500305175781
,ccbc9d76c2ebeaf5,0.342087984085083,-0.03891799971461296,0.05673406645655632,-0.014126247726380825,6,-5.568750381469727,-27.656251907348633,0.9536740183830261,1,0.000305432389723137,401.01751708984375,2023-06-06 09:26:21,-34.44375228881836
,ccbc9d76c2ebeaf5,0.3408679962158203,-0.04514000192284584,,,6,,,0.9354349970817566,2,,,2023-06-06 09:26:21,
,ccbc9d76c2ebeaf5,0.48360803723335266,-0.35611799359321594,,,2,,,0.7446269989013672,0,,,2023-06-06 09:02:14,
,ccbc9d76c2ebeaf5,0.5072150230407715,-0.3589850068092346,-0.3284161686897278,-0.16439898312091827,2,-24.693750381469727,18.618751525878906,0.763903021812439,1,0.05436696484684944,315.02252197265625,2023-06-06 09:02:14,-20.73750114440918
,ccbc9d76c2ebeaf5,0.5025790333747864,-0.39534100890159607,,,2,-23.64375114440918,16.59375,0.8514990210533142,2,,336.0150146484375,2023-06-06 09:02:14,-22.162500381469727
949.406005859375,ccbc9d76c2ebeaf5,0.3828360140323639,-0.21825800836086273,-0.7966440320014954,-0.7525854110717773,2,,,0.8621130585670471,0,0.18241949379444122,,2023-06-06 09:02:15,
949.4124755859375,ccbc9d76c2ebeaf5,0.3396480083465576,-0.1525000035762787,-0.4707476794719696,-0.3067304790019989,2,-22.556251525878906,14.568750381469727,0.9715469479560852,1,0.4382191300392151,375.030029296875,2023-06-06 09:02:15,-23.34375
,ccbc9d76c2ebeaf5,0.3112829923629761,-0.1033950001001358,,,2,-21.975000381469727,12.637500762939453,0.9207339882850647,2,,387.9900207519531,2023-06-06 09:02:15,-24.412500381469727
949.4263916015625,ccbc9d76c2ebeaf5,0.25613901019096375,0.0861320048570633,0.08498656004667282,0.08918625861406326,2,,,0.9023730158805847,3,0.09384410083293915,386.9775085449219,2023-06-06 09:02:15,
949.4339599609375,ccbc9d76c2ebeaf5,0.3173219859600067,-0.034525997936725616,0.028405211865901947,0.006948587018996477,2,-21.787500381469727,11.25,0.9530029892921448,4,0.051847148686647415,385.02001953125,2023-06-06 09:02:15,-24.843751907348633
949.43115234375,ccbc9d76c2ebeaf5,0.3235439956188202,-0.033427998423576355,0.002825249684974551,0.02695440873503685,2,-21.618751525878906,10.425000190734863,0.9537959694862366,5,-0.017027854919433594,386.0325012207031,2023-06-06 09:02:15,-24.900001525878906
949.4317626953125,ccbc9d76c2ebeaf5,0.30359700322151184,-0.02848700061440468,-0.00847574882209301,0.0038179049734026194,2,-21.506250381469727,9.956250190734863,0.9078630208969116,0,0.019624030217528343,385.02001953125,2023-06-06 09:02:16,-24.750001907348633
,ccbc9d76c2ebeaf5,0.3185420036315918,-0.04703100025653839,,,2,-21.48750114440918,9.637500762939453,0.9709979891777039,1,,,2023-06-06 09:02:16,-24.412500381469727
949.4306640625,ccbc9d76c2ebeaf5,0.3198229968547821,-0.043432001024484634,0.005574141163378954,0.02626718580722809,2,,,0.9298840165138245,2,0.008857538923621178,382.9950256347656,2023-06-06 09:02:16,
949.4302978515625,ccbc9d76c2ebeaf5,0.3176270127296448,-0.03001200035214424,-0.0449749194085598,0.03550651669502258,2,-21.075000762939453,8.21250057220459,0.9473910331726074,3,-0.07483093440532684,384.00750732421875,2023-06-06 09:02:16,-24.525001525878906
949.4271240234375,ccbc9d76c2ebeaf5,0.3244589865207672,-0.037087999284267426,-0.005955931730568409,0.020998476073145866,2,-20.943750381469727,7.350000381469727,0.8760210275650024,4,-0.028557928279042244,382.9950256347656,2023-06-06 09:02:16,-24.168750762939453
949.425537109375,ccbc9d76c2ebeaf5,0.3337920010089874,-0.011467999778687954,-0.027336198836565018,0.012446369975805283,2,-21.075000762939453,6.975000381469727,0.911217987537384,5,-0.01954767294228077,378,2023-06-06 09:02:16,-23.381250381469727
