deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
629b502066d8a33a,0.3850319981575012,-0.047885000705718994,0.043890003114938736,-0.03835078701376915,1,-17.470399856567383,14.139800071716309,0.9044470191001892,1,0.006374941673129797,3.6625001430511475,2023-06-09 20:12:52,-4.294399738311768
629b502066d8a33a,0.2526009976863861,0.07405400276184082,,,1,,,0.12279299646615982,2,,4.287499904632568,2023-06-09 20:12:52,
629b502066d8a33a,0.28169798851013184,0.10528600215911865,0.03892568126320839,-0.06612138450145721,1,-17.385000228881836,13.907999992370605,0.2962160110473633,3,0.013432304374873638,3.612499952316284,2023-06-09 20:12:52,-5.904799938201904
629b502066d8a33a,0.37673598527908325,-0.11504600197076797,0.0356796570122242,-0.08480332791805267,1,-16.726200103759766,13.480999946594238,1.295274019241333,4,0.016454758122563362,3.549999952316284,2023-06-09 20:12:52,-8.234999656677246
629b502066d8a33a,-0.05538799986243248,-0.19562700390815735,,,1,-16.18939971923828,12.541600227355957,1.4604010581970215,5,,3.7250001430511475,2023-06-09 20:12:52,-10.552999496459961
629b502066d8a33a,0.014700999483466148,0.10235799849033356,0.03485138341784477,-0.09783639758825302,1,,,0.24589098989963531,6,0.021391399204730988,3.387500047683716,2023-06-09 20:12:52,
629b502066d8a33a,0.005429000128060579,0.08430200070142746,0.04877766966819763,-0.1175755113363266,1,-15.957599639892578,11.260600090026855,0.33476802706718445,0,0.03513776510953903,3.549999952316284,2023-06-09 20:12:53,-12.382999420166016
629b502066d8a33a,-0.11522899568080902,-0.48903703689575195,0.08325537294149399,-0.14449335634708405,1,-15.054800033569336,10.296799659729004,1.5444589853286743,1,0.0559106208384037,4.0625,2023-06-09 20:12:53,-14.835199356079102
629b502066d8a33a,0.08015399426221848,-0.007075999863445759,0.11799177527427673,-0.16261956095695496,1,-15.066999435424805,9.137800216674805,0.608657956123352,2,0.07328733801841736,3.612499952316284,2023-06-09 20:12:53,-16.469999313354492
629b502066d8a33a,0.3442229926586151,0.1878799945116043,,,1,,,0.6032289862632751,3,,3.7750000953674316,2023-06-09 20:12:53,
629b502066d8a33a,0.2206369936466217,-0.12797801196575165,0.12691861391067505,-0.15853355824947357,1,-15.677000045776367,8.454599380493164,1.550315022468567,4,0.07737547904253006,3.7250001430511475,2023-06-09 20:12:53,-16.799400329589844
629b502066d8a33a,0.18665999174118042,0.1861719936132431,,,1,-15.408599853515625,8.503399848937988,1.5199980735778809,5,,3.6625001430511475,2023-06-09 20:12:53,-17.690000534057617
629b502066d8a33a,0.1878799945116043,-0.07789699733257294,0.10153701901435852,-0.13423468172550201,1,,,0.43126997351646423,0,0.06529204547405243,,2023-06-09 20:12:54,
629b502066d8a33a,0.347883015871048,-0.2134999930858612,0.06486726552248001,-0.10452540218830109,1,-15.140199661254883,9.564800262451172,0.42809799313545227,1,0.044507481157779694,3.6625001430511475,2023-06-09 20:12:54,-17.043399810791016
629b502066d8a33a,0.5188660025596619,-0.261324018239975,,,1,,,0.8203890323638916,2,,3.7750000953674316,2023-06-09 20:12:54,
629b502066d8a33a,0.5137419700622559,-0.17366699874401093,0.04236653074622154,-0.07677397131919861,1,-15.298799514770508,10.955599784851074,1.2290890216827393,3,0.02192690223455429,3.950000047683716,2023-06-09 20:12:54,-15.554999351501465
629b502066d8a33a,0.39650002121925354,-0.2046549916267395,,,1,-15.591599464416504,12.675799369812012,0.7803729772567749,4,,4.0625,2023-06-09 20:12:54,-13.981199264526367
629b502066d8a33a,0.46756502985954285,-0.08204499632120132,0.039182256907224655,-0.04812931641936302,1,,,0.4811069965362549,5,-0.0007707845070399344,,2023-06-09 20:12:54,
629b502066d8a33a,0.616100013256073,-0.08594900369644165,0.04651109501719475,-0.0203885268419981,1,-16.445600509643555,13.834799766540527,0.9315310120582581,6,-0.01938246190547943,5.125,2023-06-09 20:12:54,-11.541199684143066
629b502066d8a33a,0.8410679697990417,0.1954440027475357,,,1,-17.750999450683594,12.663599967956543,1.055177927017212,7,,5.412499904632568,2023-06-09 20:12:54,-5.843800067901611
629b502066d8a33a,0.8300880193710327,0.1412149965763092,0.044267941266298294,0.008990711532533169,1,,,-0.2504660189151764,8,-0.032531578093767166,3.950000047683716,2023-06-09 20:12:54,
629b502066d8a33a,0.7177259922027588,-0.3160409927368164,0.020744111388921738,0.05316390469670296,1,-15.286600112915039,11.040999412536621,-0.43688198924064636,0,-0.04161597415804863,3.5,2023-06-09 20:12:55,2.635200023651123
629b502066d8a33a,0.7301700115203857,0.10430999845266342,,,1,-12.480599403381348,9.881999969482422,-0.3564840257167816,1,,3.6625001430511475,2023-06-09 20:12:55,10.772600173950195
629b502066d8a33a,1.0005830526351929,-0.27260899543762207,-0.016995584592223167,0.12293799966573715,1,,,-0.5011149644851685,2,-0.04901720955967903,3.887500047683716,2023-06-09 20:12:55,
629b502066d8a33a,0.9844789505004883,-0.652944028377533,-0.04564768821001053,0.20966297388076782,1,-10.455399513244629,8.893799781799316,-0.3659999966621399,3,-0.05686239153146744,,2023-06-09 20:12:55,18.141399383544922
629b502066d8a33a,0.707722008228302,-0.45798802375793457,,,1,,,0.21288999915122986,4,,4.5625,2023-06-09 20:12:55,
629b502066d8a33a,0.6148799657821655,-0.29944899678230286,-0.040355466306209564,0.28488364815711975,1,-9.833199501037598,8.161799430847168,0.15182900428771973,5,-0.06473951041698456,4.675000190734863,2023-06-09 20:12:55,22.679800033569336
629b502066d8a33a,0.9057890176773071,-0.2432679980993271,-0.001384005299769342,0.32414788007736206,1,-33.891597747802734,19.2637996673584,0.38094499707221985,6,-0.07402724772691727,4.900000095367432,2023-06-09 20:12:55,27.340200424194336
629b502066d8a33a,1.073599934577942,-0.3534339964389801,,,1,,,0.8013570308685303,0,,4.737500190734863,2023-06-09 20:12:56,
629b502066d8a33a,0.8234999775886536,0.07259000092744827,0.04711899533867836,0.3160855174064636,1,-33.78179931640625,18.580598831176758,0.5719969868659973,1,-0.08011794090270996,4.675000190734863,2023-06-09 20:12:56,29.938798904418945
629b502066d8a33a,0.6082919836044312,-0.2874930202960968,0.08264853805303574,0.2607434093952179,1,-32.732601165771484,19.312599182128906,0.34532099962234497,2,-0.07371319085359573,4.675000190734863,2023-06-09 20:12:56,32.08599853515625
629b502066d8a33a,0.7897670269012451,-0.3702699840068817,0.10095786303281784,0.17826201021671295,1,-31.45159912109375,22.8627986907959,0.4071139991283417,3,-0.057381924241781235,4.512500286102295,2023-06-09 20:12:56,31.09779930114746
629b502066d8a33a,0.967337965965271,-0.5974950194358826,,,1,,,0.6376940011978149,4,,4.112500190734863,2023-06-09 20:12:56,
629b502066d8a33a,0.5523549914360046,-0.3038409948348999,0.10468296706676483,0.10571245849132538,1,-33.75740051269531,26.291000366210938,0.6186619997024536,5,-0.044919490814208984,,2023-06-09 20:12:56,26.80340003967285
629b502066d8a33a,0.6092680096626282,-0.1160220056772232,,,1,-34.989601135253906,28.682199478149414,0.21020598709583282,6,,4.512500286102295,2023-06-09 20:12:56,21.14259910583496
629b502066d8a33a,0.8149600028991699,-0.11650999635457993,0.09481075406074524,0.06822933256626129,1,,,0.5328959822654724,0,-0.044226422905921936,4.787499904632568,2023-06-09 20:12:57,
629b502066d8a33a,0.9653860330581665,-0.1289539933204651,0.07577961683273315,0.05972515419125557,1,-37.209999084472656,30.072999954223633,0.6841149926185608,1,-0.04897143319249153,5.012500286102295,2023-06-09 20:12:57,17.17759895324707
629b502066d8a33a,0.7831790447235107,-0.01390800066292286,0.05670802295207977,0.059163033962249756,1,-37.80780029296875,30.621999740600586,0.8577820062637329,2,-0.050225552171468735,5.125,2023-06-09 20:12:57,14.566800117492676
629b502066d8a33a,0.4199239909648895,-0.28554099798202515,,,1,-35.97779846191406,31.280799865722656,0.5360680222511292,3,,5.012500286102295,2023-06-09 20:12:57,12.614799499511719
629b502066d8a33a,0.6788690090179443,-0.3114050030708313,0.049530357122421265,0.05240057036280632,1,,,-0.059230998158454895,4,-0.04755548760294914,5.1875,2023-06-09 20:12:57,
629b502066d8a33a,0.7922070026397705,-0.3866789937019348,0.05638544261455536,0.0366942398250103,1,-30.646398544311523,30.743999481201172,0.4283420145511627,5,-0.04514199495315552,7.4375,2023-06-09 20:12:57,7.917799949645996
629b502066d8a33a,0.24601298570632935,-0.27285298705101013,0.06195978820323944,0.018318908289074898,1,-27.376798629760742,28.950599670410156,1.1289269924163818,6,-0.045376211404800415,,2023-06-09 20:12:57,2.147199869155884
629b502066d8a33a,0.5093500018119812,-0.0424560010433197,0.0454816073179245,0.005269866436719894,1,-27.86479949951172,26.81559944152832,0.5780969858169556,0,-0.044653333723545074,7.050000190734863,2023-06-09 20:12:58,-0.7563999891281128
629b502066d8a33a,0.7121139764785767,0.23893700540065765,,,1,,,0.6530659794807434,1,,7.212500095367432,2023-06-09 20:12:58,
629b502066d8a33a,0.8064200282096863,0.22350400686264038,0.0021622420754283667,-0.002412427682429552,1,-28.608999252319336,25.058799743652344,0.7583520412445068,2,-0.03445427864789963,8.112500190734863,2023-06-09 20:12:58,-3.171999931335449
629b502066d8a33a,0.4517049789428711,0.2782209813594818,-0.050082895904779434,-0.010971968062222004,1,-29.060400009155273,24.034000396728516,1.0204689502716064,3,-0.01139462273567915,8.449999809265137,2023-06-09 20:12:58,-6.112199783325195
629b502066d8a33a,0.42925700545310974,0.043981000781059265,,,1,,,0.538752019405365,4,,8,2023-06-09 20:12:58,
629b502066d8a33a,0.48348596692085266,0.10894599556922913,-0.08717423677444458,-0.025344330817461014,1,-29.4385986328125,23.54599952697754,0.8765699863433838,5,0.016894446685910225,,2023-06-09 20:12:58,-8.28380012512207
629b502066d8a33a,0.6693530082702637,0.11382599174976349,,,1,-29.572799682617188,22.960399627685547,0.863394021987915,6,,8,2023-06-09 20:12:58,-10.540800094604492
629b502066d8a33a,0.37380799651145935,0.0056119998916983604,-0.09791837632656097,-0.043188419193029404,1,,,1.0016809701919556,7,0.03667401149868965,,2023-06-09 20:12:58,
629b502066d8a33a,0.3806400001049042,-0.05959699675440788,-0.08955046534538269,-0.05986994132399559,1,-30.695199966430664,21.703800201416016,0.703635036945343,0,0.04190129414200783,,2023-06-09 20:12:59,-13.432199478149414
629b502066d8a33a,0.587552011013031,0.14365500211715698,-0.07416246086359024,-0.0749225988984108,1,-32.20800018310547,20.691200256347656,0.6682549715042114,1,0.03874363377690315,,2023-06-09 20:12:59,-15.164599418640137
629b502066d8a33a,0.5647990107536316,0.05471699684858322,-0.05723394453525543,-0.0881856232881546,1,-32.610599517822266,20.56920051574707,1.4198360443115234,2,0.03494613617658615,,2023-06-09 20:12:59,-15.530599594116211
629b502066d8a33a,0.3425150215625763,-0.038307998329401016,,,1,,,0.8577820062637329,3,,,2023-06-09 20:12:59,
629b502066d8a33a,0.37551599740982056,-0.008295999839901924,-0.03986573964357376,-0.09811320155858994,1,-31.963998794555664,21.435400009155273,0.52264803647995,4,0.033077728003263474,,2023-06-09 20:12:59,-16.433399200439453
629b502066d8a33a,0.512033998966217,0.04129699990153313,-0.024073176085948944,-0.10311904549598694,1,-31.683399200439453,22.54559898376465,0.753715991973877,5,0.03178740665316582,,2023-06-09 20:12:59,-16.54319953918457
629b502066d8a33a,0.5047140121459961,0.0021959999576210976,-0.015212347730994225,-0.09811000525951385,1,-31.41499900817871,23.19219970703125,1.4569849967956543,0,0.02735007368028164,,2023-06-09 20:13:00,-16.433399200439453
629b502066d8a33a,0.403331995010376,-0.1335899978876114,,,1,-32.183597564697266,23.021400451660156,0.5277720093727112,1,,,2023-06-09 20:13:00,-15.872200012207031
629b502066d8a33a,0.4961739778518677,0.056912995874881744,-0.015831956639885902,-0.08208642154932022,1,,,0.47085899114608765,2,0.01897577755153179,,2023-06-09 20:13:00,
629b502066d8a33a,0.7496899962425232,0.20520401000976562,-0.024700237438082695,-0.06378454715013504,1,-32.31779861450195,21.8257999420166,0.9342150092124939,3,0.012579543516039848,,2023-06-09 20:13:00,-15.798999786376953
629b502066d8a33a,0.5249660015106201,0.2130119949579239,,,1,,,1.1294150352478027,4,,,2023-06-09 20:13:00,
629b502066d8a33a,0.5073980093002319,0.21130399405956268,,,1,,,0.7527400255203247,5,,,2023-06-09 20:13:00,
629b502066d8a33a,0.44853299856185913,0.020556999370455742,,,1,,,0.40198999643325806,6,,,2023-06-09 20:13:00,
629b502066d8a33a,0.6236639618873596,0.12852700054645538,,,1,,,0.7872049808502197,0,,,2023-06-09 20:13:01,
629b502066d8a33a,0.5430830121040344,0.050324998795986176,,,1,,,0.827038049697876,0,,2.6500000953674316,2023-06-09 21:10:12,
629b502066d8a33a,0.4563409686088562,0.07917799800634384,,,1,,,0.9931409955024719,1,,3.325000047683716,2023-06-09 21:10:12,
629b502066d8a33a,0.11120300740003586,0.1487790048122406,,,1,,,0.7803729772567749,2,,4.0625,2023-06-09 21:10:12,
629b502066d8a33a,0.04892200231552124,0.18592800199985504,,,1,,,1.087630033493042,3,,4.962500095367432,2023-06-09 21:10:12,
629b502066d8a33a,0.0945499986410141,-0.01268799975514412,,,1,,,1.0886059999465942,4,,4.175000190734863,2023-06-09 21:10:12,
629b502066d8a33a,0.24406100809574127,-0.06081699952483177,,,1,,,0.942084014415741,5,,3.5,2023-06-09 21:10:12,
629b502066d8a33a,0.16592000424861908,-0.2537600100040436,,,1,,,1.0632299184799194,6,,3.1000001430511475,2023-06-09 21:10:12,
629b502066d8a33a,0.2567490041255951,-0.07618900388479233,,,1,,,0.6653270125389099,0,,3.0375001430511475,2023-06-09 21:10:13,
629b502066d8a33a,0.3867399990558624,-0.07033299654722214,,,1,,,0.6240299940109253,1,,4.224999904632568,2023-06-09 21:10:13,
629b502066d8a33a,0.3845440149307251,-0.08814500272274017,,,1,,,0.9669719338417053,2,,4.5625,2023-06-09 21:10:13,
629b502066d8a33a,0.2616899907588959,-0.1096780002117157,,,1,,,1.286978006362915,3,,5.462500095367432,2023-06-09 21:10:13,
629b502066d8a33a,0.3430030047893524,-0.16537100076675415,,,1,,,0.8895629644393921,4,,5.012500286102295,2023-06-09 21:10:13,
629b502066d8a33a,0.41040802001953125,-0.03660000115633011,,,1,,,0.8101410269737244,5,,4.849999904632568,2023-06-09 21:10:13,
629b502066d8a33a,0.40357598662376404,-0.09156100451946259,,,1,,,0.8829750418663025,6,,5.300000190734863,2023-06-09 21:10:13,
629b502066d8a33a,0.4959299862384796,-0.13188199698925018,,,1,,,0.8765699863433838,0,,6.137500286102295,2023-06-09 21:10:14,
629b502066d8a33a,0.37429600954055786,-0.2332640141248703,,,1,,,1.0771379470825195,1,,6.3125,2023-06-09 21:10:14,
629b502066d8a33a,0.3134180009365082,-0.20245899260044098,,,1,,,0.7276079654693604,2,,7.550000190734863,2023-06-09 21:10:14,
629b502066d8a33a,0.44487300515174866,-0.21002300083637238,,,1,,,0.7102230191230774,3,,8.449999809265137,2023-06-09 21:10:14,
629b502066d8a33a,0.5191100239753723,-0.11626599729061127,,,1,,,0.9968010187149048,4,,8.625,2023-06-09 21:10:14,
629b502066d8a33a,0.3659389913082123,-0.1160220056772232,,,1,,,1.2913700342178345,5,,7.662499904632568,2023-06-09 21:10:14,
629b502066d8a33a,0.26120197772979736,0.12193899601697922,,,1,,,0.8059930205345154,0,,9.75,2023-06-09 21:10:15,
629b502066d8a33a,0.452193021774292,0.15195100009441376,,,1,,,0.6672790050506592,1,,11.4375,2023-06-09 21:10:15,
629b502066d8a33a,0.5674830079078674,0.33592700958251953,,,1,,,0.7551800012588501,2,,9.46250057220459,2023-06-09 21:10:15,
629b502066d8a33a,0.5968239903450012,0.2841379940509796,,,1,,,0.9579439759254456,3,,9.012499809265137,2023-06-09 21:10:15,
629b502066d8a33a,0.26120197772979736,0.12193899601697922,,,1,,,0.8059930205345154,4,,9.75,2023-06-09 21:10:15,
